csv_file,route_idx,chunk_idx,step_idx,criticality,base_cost,best_cost,improvement,best_idx,best_mean_abs_resid,best_max_abs_resid,base_h_cost_ref
/workspace/controls_challenge/data/17870.csv,7,64,420,1.3331769704818726,56981.46484375,53348.92578125,3632.5390625,20,0.08167386054992676,0.25217413902282715,56981.46484375
/workspace/controls_challenge/data/14719.csv,24,25,225,0.5725260972976685,3024.138671875,982.9644165039062,2041.1742553710938,7,0.13750916719436646,0.26511165499687195,3024.13818359375
/workspace/controls_challenge/data/09105.csv,31,63,415,0.6294351816177368,2278.47119140625,519.5953979492188,1758.8757934570312,17,0.10884686559438705,0.24331134557724,2278.47119140625
/workspace/controls_challenge/data/07623.csv,15,36,280,0.7322363257408142,4085.37109375,2593.8544921875,1491.5166015625,20,0.10720588266849518,0.1359129250049591,4085.37109375
/workspace/controls_challenge/data/19349.csv,9,26,230,0.5927360653877258,1880.767333984375,627.9205932617188,1252.8467407226562,2,0.09301560372114182,0.21512006223201752,1880.7674560546875
/workspace/controls_challenge/data/13848.csv,29,23,215,0.6525362133979797,3390.59765625,2146.8212890625,1243.7763671875,25,0.1581985503435135,0.23772107064723969,3390.597900390625
/workspace/controls_challenge/data/19309.csv,25,42,310,0.5636595487594604,2205.36279296875,1109.185791015625,1096.177001953125,10,0.09522420167922974,0.16222485899925232,2205.363037109375
/workspace/controls_challenge/data/06515.csv,20,60,400,0.6095641851425171,2677.509521484375,1611.92236328125,1065.587158203125,22,0.09117713570594788,0.17493170499801636,2677.50927734375
/workspace/controls_challenge/data/09115.csv,26,43,315,0.7631429433822632,4379.7998046875,3317.626220703125,1062.173583984375,11,0.06923020631074905,0.1725756824016571,4379.80029296875
/workspace/controls_challenge/data/07623.csv,15,25,225,0.6695167422294617,5179.09375,4154.0224609375,1025.0712890625,8,0.054819535464048386,0.10879245400428772,5179.09423828125
/workspace/controls_challenge/data/03358.csv,6,55,375,0.6965243816375732,1906.9268798828125,919.050048828125,987.8768310546875,4,0.09008165448904037,0.2011484056711197,1906.9271240234375
/workspace/controls_challenge/data/07314.csv,4,66,430,0.5615745782852173,1650.4781494140625,779.2954711914062,871.1826782226562,4,0.06445682793855667,0.15665341913700104,1650.47802734375
/workspace/controls_challenge/data/13746.csv,22,53,365,0.5607245564460754,2907.251220703125,2050.1552734375,857.095947265625,17,0.07485197484493256,0.15655772387981415,2907.2509765625
/workspace/controls_challenge/data/09115.csv,26,51,355,0.7928475141525269,6496.08642578125,5770.09912109375,725.9873046875,13,0.0960109606385231,0.1588374376296997,6496.0869140625
/workspace/controls_challenge/data/00212.csv,27,21,205,0.5388354659080505,1295.566650390625,615.4336547851562,680.1329956054688,19,0.08371187746524811,0.12487900257110596,1295.566650390625
/workspace/controls_challenge/data/19309.csv,25,39,295,0.5810592174530029,1997.1041259765625,1334.4664306640625,662.6376953125,22,0.08177872002124786,0.1479126662015915,1997.104248046875
/workspace/controls_challenge/data/13746.csv,22,50,350,0.5530962347984314,1281.15869140625,661.5740966796875,619.5845947265625,12,0.07509548962116241,0.1116054505109787,1281.15869140625
/workspace/controls_challenge/data/00869.csv,18,55,375,0.5891092419624329,1441.765380859375,911.5596313476562,530.2057495117188,19,0.08037913590669632,0.1727520376443863,1441.765380859375
/workspace/controls_challenge/data/00819.csv,1,0,100,0.6852840185165405,3454.620849609375,2990.753662109375,463.8671875,31,0.05483982712030411,0.10589515417814255,3454.62060546875
/workspace/controls_challenge/data/01041.csv,11,74,470,0.5775539875030518,1671.065185546875,1214.523681640625,456.54150390625,16,0.05676963925361633,0.0932513102889061,1671.065185546875
/workspace/controls_challenge/data/11149.csv,30,38,290,0.5584278106689453,819.1962890625,365.0892333984375,454.1070556640625,13,0.043307263404130936,0.08350726217031479,819.1962280273438
/workspace/controls_challenge/data/00819.csv,1,1,105,0.7251613736152649,3037.2138671875,2597.44482421875,439.76904296875,11,0.07105638831853867,0.1531965136528015,3037.2138671875
/workspace/controls_challenge/data/00869.csv,18,59,395,0.6619731187820435,2888.1533203125,2464.733642578125,423.419677734375,25,0.056815147399902344,0.15375253558158875,2888.1533203125
/workspace/controls_challenge/data/04572.csv,5,57,385,0.5700513124465942,2131.411376953125,1719.8431396484375,411.5682373046875,5,0.058781661093235016,0.11221832036972046,2131.4111328125
/workspace/controls_challenge/data/19726.csv,17,53,365,0.5812675952911377,1443.9239501953125,1045.195556640625,398.7283935546875,4,0.04424973949790001,0.06561321020126343,1443.9239501953125
/workspace/controls_challenge/data/07164.csv,14,31,255,0.5624902248382568,1992.828857421875,1604.6259765625,388.202880859375,19,0.055930715054273605,0.15463094413280487,1992.8291015625
/workspace/controls_challenge/data/18390.csv,19,15,175,0.5797388553619385,1171.1190185546875,783.3060302734375,387.81298828125,28,0.07968800514936447,0.13427874445915222,1171.1190185546875
/workspace/controls_challenge/data/03358.csv,6,50,350,0.6019298434257507,1741.6785888671875,1360.7081298828125,380.970458984375,5,0.0985773578286171,0.15370233356952667,1741.6787109375
/workspace/controls_challenge/data/07223.csv,23,30,250,0.5465691089630127,734.7568359375,357.5441589355469,377.2126770019531,7,0.05416230112314224,0.09785747528076172,734.7569580078125
/workspace/controls_challenge/data/09105.csv,31,53,365,0.7131603956222534,3563.62060546875,3191.77294921875,371.84765625,5,0.07481919974088669,0.1329018920660019,3563.620361328125
